"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","printError_TC4","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ResultPrinterTest","ResultPrinterModules","com.swt.ResultPrinterTest","printError_TC4"
"","0","checkNumeric_TC3","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ValidatorTest","ValidatorModules","com.swt.ValidatorTest","checkNumeric_TC3"
"","1","checkOperator_TC1","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ValidatorTest","ValidatorModules","com.swt.ValidatorTest","checkOperator_TC1"
"","0","checkOperator_TC4","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ValidatorTest","ValidatorModules","com.swt.ValidatorTest","checkOperator_TC4"
"","15","add_TC1_posInt","CalculatorUnitTests","Sun May 04 20:52:01 WIB 2025","passed","Sun May 04 20:52:01 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","add_TC1_posInt"
"","1","checkRange_TC3","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ValidatorTest","ValidatorModules","com.swt.ValidatorTest","checkRange_TC3"
"","1","sub_TC6_mixFloat","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","sub_TC6_mixFloat"
"","2","compute_TC1","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ComputationTest","ComputationModule","com.swt.ComputationTest","compute_TC1"
"","0","div_TC6_mixFloat","CalculatorUnitTests","Sun May 04 20:52:01 WIB 2025","passed","Sun May 04 20:52:01 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","div_TC6_mixFloat"
"","2","printResult_TC1","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ResultPrinterTest","ResultPrinterModules","com.swt.ResultPrinterTest","printResult_TC1"
"","1","mul_TC2_negInt","CalculatorUnitTests","Sun May 04 20:52:01 WIB 2025","passed","Sun May 04 20:52:01 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","mul_TC2_negInt"
"","1","main_TC4","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.AppTest","AppModule","com.swt.AppTest","main_TC4"
"","1","div_TC1_posInt","CalculatorUnitTests","Sun May 04 20:52:01 WIB 2025","passed","Sun May 04 20:52:01 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","div_TC1_posInt"
"","0","checkRange_TC4","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ValidatorTest","ValidatorModules","com.swt.ValidatorTest","checkRange_TC4"
"","1","printError_TC3","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ResultPrinterTest","ResultPrinterModules","com.swt.ResultPrinterTest","printError_TC3"
"","0","compute_TC5","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ComputationTest","ComputationModule","com.swt.ComputationTest","compute_TC5"
"","1","sub_TC5_negFloat","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","sub_TC5_negFloat"
"","2","main_TC3","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.AppTest","AppModule","com.swt.AppTest","main_TC3"
"","0","sub_TC2_negInt","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","sub_TC2_negInt"
"","0","checkNumeric_TC2","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.ValidatorTest","ValidatorModules","com.swt.ValidatorTest","checkNumeric_TC2"
"","1","sub_TC1_posInt","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","sub_TC1_posInt"
"","1","main_TC5","CalculatorUnitTests","Sun May 04 20:52:02 WIB 2025","passed","Sun May 04 20:52:02 WIB 2025","com.swt.AppTest","AppModule","com.swt.AppTest","main_TC5"
"","0","add_TC4_mixDec","CalculatorUnitTests","Sun May 04 20:52:01 WIB 2025","passed","Sun May 04 20:52:01 WIB 2025","com.swt.OperationTest","OperationModules","com.swt.OperationTest","add_TC4_mixDec"
